Como prospectar leads frios de perfis sugeridos por clientes,,,,Como prospectar leads frios de perfis sugeridos por clientes - https://www.loom.com/share/221685a36fe644779ba7be010c6dd47d?sid=af2a1917-f9b2-4648-8f0b-708323594698,,,,,,,,,0%,,,,"Marcos Daniel mar 13, 2025 15:30",,,,,,,8692875015
OBJETIVO DA FASE 2:,,,,,,,,,,,,,0%,,,,"Marcos Daniel mar 14, 2025 03:51",,,,,,,8696856546
Gravar treinamento do Tutorial do BDR,,,,,Play Book  BDRSC - Social Seller - MOTTIVME SALES TEAM - https://docs.google.com/document/d/103RVOqWtf1T_HfdD6phm13M6swREynS9VP2OPtyHpFs/edit?tab=t.0,,,,,,,,0%,,,,"Marcos Daniel mar 29, 2025 00:52",,,,,,,8811335690
,,,,,,,,,,,,,0%,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FASE A1 - Gestor do BPO,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pessoas,link to 0. Job Description - benchmarking,Espelho,Link com Tutoriais,Link de Arquivos/Página,Subitems,Cronograma - Start,Cronograma - End,Status. Tutoriais,Status no Mentorfy,Status Arquivos do Processo,Time,Monitoramento de Progresso,"Sugestões, critícas e elogios",Quem deve assistir?,Configuração para:,Última atualização,Tempo estimado (h),O que se espera aprender?,Observação,Categoria,Link com Tutoriais - loom,link to Templates de Mensagens,Item ID (auto generated)
Analisar se tem novos seguidores para o BDR prospectar,,,,,,,,,,,,,0%,,,,"Marcos Daniel mar 11, 2025 20:09",,,,,,,8675213190
Analisar se os BDR`s estão prospectando corretamente,,,,,,,,,,,,,0%,,,,"Marcos Daniel mar 11, 2025 20:10",,,,,,,8675941388
Analisar se a planilha de produtividade e métricas dos BDR`s estão sendo preenchidas,,,,,,,,,,,,,0%,,,,"Marcos Daniel mar 11, 2025 20:10",,,,,,,8675943614
Modelo de métricas SDR/Social Sellers,,,,,Google Docs - https://docs.google.com/spreadsheets/d/1hjQwEXuc0w7CjGczcvE-OzLVBmWxDBOQX_x32WlrN-k/edit?usp=drive_link,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:32",,,,,,,8740043725
Planilha Consolidado - Métricas + Resumo Semanal,,,,,https://docs.google.com/spreadsheets/d/1Q6wodOhU_RM5cDIlOxSRAn01YoOFccj2RJuG9_3gkRg/edit?usp=sharing,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:44",,,,,,,8740090926
a,,,,,Google Docs - https://docs.google.com/document/d/1p1LvvXOfC1dCipc0SXIRoaEhcV4EdNfo4nbaZWG0y1o/edit?usp=drive_link,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:49",,,,,,,8740124667
Cargos e salários,,,,,Google Docs - https://docs.google.com/spreadsheets/d/1ocswpCVw-FSaodN8w-MNNn5cRFXlaJp4EPuyjSwS5ps/edit?usp=drive_link,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:49",,,,,,,8740126650
Bonus osocial seller,,,,,Google Docs - https://docs.google.com/document/d/19JYF3_EnmCjHC0o-bXAijUELPZc1tAog6Z1xndiKlV4/edit?usp=drive_link,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:49",,,,,,,8740129106
bonus ss,,,,,Google Docs - https://docs.google.com/document/d/13IfrLorS0qbxiBOtCE91QwWingyrJbtgcK5c7ltxdis/edit?usp=drive_link,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:50",,,,,,,8740129860
planilha cargos e salarios,,,,,Google Docs - https://docs.google.com/spreadsheets/d/1ki_0L0XRS6TMimYQFWQqcqdVhlm9L2kQv5gm0fuVeRg/edit?usp=drive_link,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:50",,,,,,,8740131705
ca,,,,,Google Docs - https://docs.google.com/spreadsheets/d/1NePikuEAZD-BBAnEIHkR_YRkpRpVsFjWv129ECTG_1o/edit?usp=drive_link,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:50",,,,,,,8740132398
a,,,,,"[MTVM SALES] KGC - ROTINAS COMERCIAIS (2)., - https://docs.google.com/document/d/1feJ2lW3ZpNxfzKTkNpFOXQOKC6_4qcDmoKSFIk0SuIU/edit?usp=sharing",,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 06:06",,,,,,,8740197460
,,,,,,,,,,,,,0%,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FASE A1 -BDR's,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pessoas,link to 0. Job Description - benchmarking,Espelho,Link com Tutoriais,Link de Arquivos/Página,Subitems,Cronograma - Start,Cronograma - End,Status. Tutoriais,Status no Mentorfy,Status Arquivos do Processo,Time,Monitoramento de Progresso,"Sugestões, critícas e elogios",Quem deve assistir?,Configuração para:,Última atualização,Tempo estimado (h),O que se espera aprender?,Observação,Categoria,Link com Tutoriais - loom,link to Templates de Mensagens,Item ID (auto generated)
,,,,,,,,,,,,,,,,,,,,,,,,
FASE A1 - CS,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pessoas,link to 0. Job Description - benchmarking,Espelho,Link com Tutoriais,Link de Arquivos/Página,Subitems,Cronograma - Start,Cronograma - End,Status. Tutoriais,Status no Mentorfy,Status Arquivos do Processo,Time,Monitoramento de Progresso,"Sugestões, critícas e elogios",Quem deve assistir?,Configuração para:,Última atualização,Tempo estimado (h),O que se espera aprender?,Observação,Categoria,Link com Tutoriais - loom,link to Templates de Mensagens,Item ID (auto generated)
Passo a passo inicial de OnBoarding do Cliente,,,,,,,,,,,,,0%,,,,"Marcos Daniel mar 24, 2025 11:57",,,,,,,8765883534
Apresentação em Gamma App,,,,,Mottivme: Seu Parceiro Estratégico em BPO de Social Selling - https://mottivme-seu-parceiro-es-6ae1frb.gamma.site/,,,,,,,,0%,,,,"Marcos Daniel mar 29, 2025 06:55",,,,,,,8811828163
,,,,,,,,,,,,,0%,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FASE A1 - Closer,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pessoas,link to 0. Job Description - benchmarking,Espelho,Link com Tutoriais,Link de Arquivos/Página,Subitems,Cronograma - Start,Cronograma - End,Status. Tutoriais,Status no Mentorfy,Status Arquivos do Processo,Time,Monitoramento de Progresso,"Sugestões, critícas e elogios",Quem deve assistir?,Configuração para:,Última atualização,Tempo estimado (h),O que se espera aprender?,Observação,Categoria,Link com Tutoriais - loom,link to Templates de Mensagens,Item ID (auto generated)
Fluxo após agendamento Closer,,,,,Fluxo pós agendamento - Nutricao ate a call_ - https://docs.google.com/document/d/1OasnIrnGLj78B5jTfssC5wqXfrMo6rn8CIgCX74LydY/edit?usp=drive_link,,,,,,Modelando,Mottivme Sales,0%,,,,"Marcos Daniel mar 20, 2025 05:33",,,,,,,8740045002
PROCESSO COMERCIAL - PÓS AGENDAMENTO ATÉ A CALL,,,,,,,,,,,Modelando,Mottivme Sales,0%,,,,"Marcos Daniel mar 20, 2025 05:34",,,,,,,8740047755
Processo de vendas por mensagem,,,,,Processo de vendas por mensagem - https://docs.google.com/document/d/1XbabmiZtwtTXOZkh8fS9Nbrsdfc5Q3-1OKdD-4q7WB8/edit?usp=sharing,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:42",,,,,,,8740051684
ofertas mentoria - LINHAS DE NEGOCIACAO E BONUS OCULTOS,,,,,ofertas mentoria - LINHAS DE NEGOCIACAO E BONUS OCULTOS - https://docs.google.com/document/d/1_66iwqNtyGsurXwed7zZ9afCG_PPfFaYJullzaCCBIU/edit?usp=drive_link,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:45",,,,,,,8740096562
PLAYBOOK OBJECOES,,,,,PLAYBOOK OBJECOES - https://docs.google.com/document/d/1yaY3lHyiJcxE-6j7jHlDO1XaagMR91TZTGzqi9iLy4w/edit?tab=t.0,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:45",,,,,,,8740105479
a,,,,,MindMeister - https://www.mindmeister.com/app/map/2990376375?t=7DCEJnpSZ1,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:46",,,,,,,8740109631
ofertas mentoria - LINHAS DE NEGOCIACAO E BONUS OCULTOS,,,,,ofertas mentoria - LINHAS DE NEGOCIACAO E BONUS OCULTOS - https://docs.google.com/document/d/1Y6yTejccGGLsser-yjpflQ5_IHeop12hNnHrTCehPoQ/edit?usp=sharing,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:46",,,,,,,8740110848
Scipt a eunião,,,,,,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:47",,,,,,,8740118191
Fórmula da Manhã - FSS,,,,,Fórmula da Manhã - Time Comercial - Mottivme Sales.docx - https://docs.google.com/document/d/1XjyzbMhN6tqzyS5u7PUsJkIV0v2tXlbj/edit?usp=sharing&ouid=116533015460970007568&rtpof=true&sd=true,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 06:04",,,,,,,8740173510
A,,,,,"[MTVM SALES] AQ3 - Manual da Cultura Organizacional do Setor de Marketing MTVM (1)., - https://docs.google.com/document/d/1-snlKx7XdsxTZifOkeXaEeaacMBHnafsUquPJdHpekw/edit?usp=sharing",,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 06:08",,,,,,,8740217254
,,,,,,,,,,,,,0%,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Recrutamento e Seleção,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pessoas,link to 0. Job Description - benchmarking,Espelho,Link com Tutoriais,Link de Arquivos/Página,Subitems,Cronograma - Start,Cronograma - End,Status. Tutoriais,Status no Mentorfy,Status Arquivos do Processo,Time,Monitoramento de Progresso,"Sugestões, critícas e elogios",Quem deve assistir?,Configuração para:,Última atualização,Tempo estimado (h),O que se espera aprender?,Observação,Categoria,Link com Tutoriais - loom,link to Templates de Mensagens,Item ID (auto generated)
Como preencher o teste DISC,,,,1 Como Preencher a Planilha de Perfil Comportamental na Mottivme Sales 📊 - https://www.loom.com/share/58f2718db90243cdb1595c6b9d227b85?sid=c124ffad-69f3-4a4b-b27e-7cb51eacadd2,,Pasta com o DISC e Tutorial para o usuário assistir,,,,,,,0%,,,,"Marcos Daniel mar 26, 2025 04:31",,,,,,,8783822108
Subitems,Name,Owner,Status,Date,Link com Tutoriais,Link de Arquivos,Item ID (auto generated),,,,,,,,,,,,,,,,,
,Pasta com o DISC e Tutorial para o usuário assistir,,,,,RECRUTAMENTO E SELEÇÃO - Google Drive - https://drive.google.com/drive/folders/1xcmbCivq_ruagXAG-PU-2NhZN5y7DYXR?usp=sharing,8783860121,,,,,,,,,,,,,,,,,
a,,,,,https://drive.google.com/file/d/1SnQQ4b2q2bCKMqMoaDFzTyfhpiNQtYEX/view?usp=drive_link,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 06:07",,,,,,,8740212651
1. Guia Prático -  Recrutamento e Seleções de Times Comerciais,,,,,1. Guia Prático -  Recrutamento e Seleções de Times Comerciais - https://drive.google.com/drive/folders/1rk8oEvs2t8uqRztfZEE8INoavIZBuZj_?usp=drive_link,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 06:08",,,,,,,8740219459
Sites para contratações,,,,,,https://employers.indeed.com/,,,,,,,0%,,,,"Marcos Daniel mar 26, 2025 04:21",,,,,,,8783826438
Subitems,Name,Owner,Status,Date,Link com Tutoriais,Link de Arquivos,Item ID (auto generated),,,,,,,,,,,,,,,,,
,https://employers.indeed.com/,,,,,,8783853761,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0%,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Automações Make,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pessoas,link to 0. Job Description - benchmarking,Espelho,Link com Tutoriais,Link de Arquivos/Página,Subitems,Cronograma - Start,Cronograma - End,Status. Tutoriais,Status no Mentorfy,Status Arquivos do Processo,Time,Monitoramento de Progresso,"Sugestões, critícas e elogios",Quem deve assistir?,Configuração para:,Última atualização,Tempo estimado (h),O que se espera aprender?,Observação,Categoria,Link com Tutoriais - loom,link to Templates de Mensagens,Item ID (auto generated)
"Mover lead pra forms de contrato preenchido, ganho, contrato assinado...",,,,,Make - https://us1.make.com/485207/scenarios/3766356/edit,,,,,,,,0%,,,,"Marcos Daniel mai 8, 2025 08:42",,,,,,,9098021308
,,,,,,,,,,,,,0%,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Novo grupo,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pessoas,link to 0. Job Description - benchmarking,Espelho,Link com Tutoriais,Link de Arquivos/Página,Subitems,Cronograma - Start,Cronograma - End,Status. Tutoriais,Status no Mentorfy,Status Arquivos do Processo,Time,Monitoramento de Progresso,"Sugestões, critícas e elogios",Quem deve assistir?,Configuração para:,Última atualização,Tempo estimado (h),O que se espera aprender?,Observação,Categoria,Link com Tutoriais - loom,link to Templates de Mensagens,Item ID (auto generated)
